,resource_category,website_id,page_id,page_type,page_url,rank,sourceid,title,type,issn,sjr,sjr_best_quartile,h_index,total_docs_2022_,total_docs_3years_,total_refs_,total_cites_3years_,citable_docs_3years_,cites_doc_2years_,ref_doc_,region,publisher,coverage,categories,areas,country,url,continent,violations,passes,total_checks,failure_rate
6455,journal,Journal-of-Animal-and-Feed-Sciences,0,home,http://www.jafs.com.pl/,14417.0,40738.0,Journal of Animal and Feed Sciences,journal,"12301388, 27198448","0,323",Q3,37.0,40.0,121.0,1511.0,173.0,120.0,"1,05","37,78",Eastern Europe,"Kielanowski Institute of Animal Physiology and Nutrition, Polish Academy of Science",1996-2022,Animal Science and Zoology;Food Science,Agricultural and Biological Sciences,Poland,http://www.jafs.com.pl/,Europe,122,1131,1253,0.09736632083000799
6456,journal,Journal-of-Animal-and-Plant-Sciences,0,home,https://thejaps.org.pk/,18546.0,19700170476.0,Journal of Animal and Plant Sciences,journal,10187081,"0,213",Q4,39.0,191.0,602.0,8089.0,497.0,602.0,"0,85","42,35",Asiatic Region,Pakistan Agricultural Scientists Forum,2008-2022,Animal Science and Zoology;Plant Science,Agricultural and Biological Sciences,Pakistan,http://www.thejaps.org.pk/,Asia,38,261,299,0.12709030100334448
6457,journal,Journal-of-Anthropological-Sciences,0,home,http://www.isita-org.com/jass/,10358.0,14600154701.0,Journal of Anthropological Sciences,journal,"18274765, 20370644","0,498",Q1,30.0,13.0,40.0,1681.0,47.0,29.0,"0,93","129,31",Western Europe,Istituto Italiano di Antropologia,2008-2021,Anthropology;Medicine,Medicine; Social Sciences,Italy,http://www.isita-org.com/jass/,Europe,3,2,5,0.6
6458,journal,Journal-of-Antibiotics,0,home,https://www.nature.com/ja/,10083.0,15840.0,Journal of Antibiotics,journal,"00218820, 18811469","0,514",Q2,87.0,93.0,360.0,2829.0,1115.0,341.0,"3,31","30,42",Western Europe,Japan Antibiotics Research Association,1953-2022,Drug Discovery;Pharmacology,"Pharmacology, Toxicology and Pharmaceutics",United Kingdom,https://www.nature.com/ja/,Europe,2,1465,1467,0.0013633265167007499
6459,journal,Journal-of-Apicultural-Science,0,home,https://sciendo.com/journal/JAS,15663.0,19200157026.0,Journal of Apicultural Science,journal,16434439,"0,284",Q3,21.0,16.0,84.0,737.0,106.0,84.0,"0,69","46,06",Eastern Europe,Research Institute of Pomology and Floriculture,2008-2022,Insect Science;Plant Science,Agricultural and Biological Sciences,Poland,https://sciendo.com/journal/JAS,Europe,51,1374,1425,0.035789473684210524
6460,journal,Journal-of-Applied-Arts-and-Health,0,home,https://www.intellectbooks.com/journal-of-applied-arts-health,24758.0,21101048554.0,Journal of Applied Arts and Health,journal,"20402465, 20402457","0,115",Q3,2.0,29.0,30.0,799.0,7.0,26.0,"0,23","27,55",Western Europe,Intellect Ltd.,2021-2022,Clinical Psychology,Arts and Humanities; Psychology; Social Sciences,United Kingdom,https://www.intellectbooks.com/journal-of-applied-arts-health,Europe,45,1329,1374,0.03275109170305677
6461,journal,Journal-of-Applied-Biology-and-Biotechnology,0,home,https://jabonline.in/,17385.0,21100970232.0,Journal of Applied Biology and Biotechnology,journal,2347212X,"0,237",Q3,12.0,159.0,316.0,8124.0,373.0,310.0,"1,06","51,09",Asiatic Region,Open Science Publishers LLP Inc.,2019-2022,"Agronomy and Crop Science;Biochemistry, Genetics and Molecular Biology;Biotechnology;Food Science;Plant Science","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology",India,https://jabonline.in/,Asia,67,1313,1380,0.04855072463768116
6462,journal,Journal-of-Applied-Biomechanics,0,home,https://journals.humankinetics.com/view/journals/jab/jab-overview.xml,11801.0,23446.0,Journal of Applied Biomechanics,journal,"15432688, 10658483","0,431",Q2,64.0,52.0,206.0,1428.0,297.0,194.0,"1,09","27,46",Northern America,Human Kinetics Publishers Inc.,1995-2022,Rehabilitation;Biophysics;Orthopedics and Sports Medicine,"Biochemistry, Genetics and Molecular Biology; Health Professions; Medicine",United States,https://journals.humankinetics.com/view/journals/jab/jab-overview.xml,North America,38,2095,2133,0.017815283638068447
6463,journal,Journal-of-Applied-Biomedicine,0,home,https://jab.zsf.jcu.cz/?cancel_login=1,15618.0,130045.0,Journal of Applied Biomedicine,journal,"12140287, 1214021X","0,285",Q2,36.0,19.0,73.0,755.0,100.0,73.0,"1,39","39,74",Eastern Europe,University of South Bohemia in Ceske Budejovice Faculty of Health and Social Sciences,2005-2022,"Agricultural and Biological Sciences;Pharmacology, Toxicology and Pharmaceutics;Biochemistry, Genetics and Molecular Biology;Biomedical Engineering;Immunology and Microbiology;Medicine;Health, Toxicology and Mutagenesis;Neuroscience","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Computer Science; Engineering; Environmental Science; Immunology and Microbiology; Medicine; Neuroscience; Pharmacology, Toxicology and Pharmaceutics",Czech Republic,https://jab.zsf.jcu.cz/?cancel_login=1,Europe,239,972,1211,0.19735755573905864
6464,journal,Journal-of-Applied-Botany-and-Food-Quality,0,home,https://ojs.openagrar.de/index.php/JABFQ,14781.0,98776.0,Journal of Applied Botany and Food Quality,journal,"1439040X, 16139216","0,312",Q3,44.0,19.0,114.0,837.0,195.0,113.0,"1,35","44,05",Western Europe,Julius Kuhn-Institut Federal Research Center for Cultivated Plants,2004-2022,Food Science;Plant Science,Agricultural and Biological Sciences,Germany,https://ojs.openagrar.de/index.php/JABFQ,Europe,6,358,364,0.016483516483516484
6465,journal,Journal-of-Applied-Genetics,0,home,https://link.springer.com/journal/13353,9726.0,19180.0,Journal of Applied Genetics,journal,"12341983, 21903883","0,534",Q2,55.0,67.0,172.0,3488.0,474.0,170.0,"2,43","52,06",Western Europe,Springer Berlin,1996-2022,Medicine;Genetics,"Biochemistry, Genetics and Molecular Biology; Medicine",Germany,https://www.springer.com/journal/13353,Europe,1,1101,1102,0.0009074410163339383
6466,journal,Journal-of-Applied-Oral-Science,0,home,https://revistas.usp.br/jaos,6509.0,4000152106.0,Journal of Applied Oral Science,journal,"16787757, 16787765","0,750",Q1,53.0,60.0,254.0,2290.0,808.0,251.0,"2,71","38,17",Latin America,Faculdade de Odontologia de Bauru da Universidade de Sao Paulo,2006-2022,Dentistry;Medicine,Dentistry; Medicine,Brazil,http://www.revistas.usp.br/jaos,South America,18,1511,1529,0.011772400261608895
6467,journal,Journal-of-Applied-Phycology,0,home,https://link.springer.com/journal/10811,8377.0,19184.0,Journal of Applied Phycology,journal,"15735176, 09218971","0,612",Q2,127.0,253.0,1044.0,16156.0,3861.0,1041.0,"3,56","63,86",Western Europe,Springer Netherlands,1989-2022,Plant Science,Agricultural and Biological Sciences,Netherlands,https://www.springer.com/journal/10811,Europe,1,1160,1161,0.0008613264427217916
6468,journal,Journal-of-Applied-Poultry-Research,0,home,https://www.sciencedirect.com/browse/journals-and-books,9351.0,54469.0,Journal of Applied Poultry Research,journal,"15370437, 10566171","0,553",Q2,71.0,82.0,324.0,2886.0,713.0,324.0,"2,16","35,20",Northern America,Elsevier Inc.,1992-2022,Animal Science and Zoology,Agricultural and Biological Sciences,United States,https://www.journals.elsevier.com/journal-of-applied-poultry-research/,North America,4,201,205,0.01951219512195122
6469,journal,Journal-of-Applied-Probability-and-Statistics,0,home,http://japs.isoss.net/index.htm,18295.0,21100238614.0,Journal of Applied Probability and Statistics,journal,19306792,"0,218",Q3,8.0,0.0,58.0,0.0,41.0,55.0,"0,80","0,00",Asiatic Region,Islamic Countries Society of Statistical Sciences,2012-2021,Podiatry,Health Professions; Mathematics,Pakistan,http://japs.isoss.net/index.htm,Asia,36,139,175,0.2057142857142857
6470,journal,Journal-of-Applied-Psychology,0,home,https://www.apa.org/pubs/journals/apl/,188.0,15388.0,Journal of Applied Psychology,journal,"19391854, 00219010","6,130",Q1,324.0,129.0,332.0,14798.0,4160.0,329.0,"11,94","114,71",Northern America,American Psychological Association,1917-2022,Applied Psychology,Psychology,United States,https://www.apa.org/pubs/journals/apl/,North America,11,136,147,0.07482993197278912
6471,journal,Journal-of-Applied-Research-on-Children,0,home,https://digitalcommons.library.tmc.edu/childrenatrisk/,23525.0,21100372604.0,Journal of Applied Research on Children,journal,21555834,"0,129",Q4,13.0,0.0,20.0,0.0,6.0,20.0,"0,32","0,00",Northern America,Children At Risk,2014-2020,Developmental and Educational Psychology,Psychology; Social Sciences,United States,https://digitalcommons.library.tmc.edu/childrenatrisk/,North America,29,506,535,0.05420560747663551
6472,journal,Journal-of-Applied-Research-on-Medicinal-and-Aromatic-Plants,0,home,https://www.sciencedirect.com/journal/journal-of-applied-research-on-medicinal-and-aromatic-plants,9315.0,21100366771.0,Journal of Applied Research on Medicinal and Aromatic Plants,journal,22147861,"0,555",Q2,31.0,87.0,150.0,5211.0,689.0,150.0,"4,42","59,90",Western Europe,Elsevier GmbH,2014-2022,Drug Discovery;Plant Science,"Agricultural and Biological Sciences; Pharmacology, Toxicology and Pharmaceutics",Germany,https://www.sciencedirect.com/journal/journal-of-applied-research-on-medicinal-and-aromatic-plants,Europe,4,201,205,0.01951219512195122
6473,journal,Journal-of-Applied-Science-and-Engineering-Taiwan-,0,home,http://jase.tku.edu.tw/,17928.0,21101034114.0,Journal of Applied Science and Engineering (Taiwan),journal,"27089975, 27089967","0,225",Q2,30.0,136.0,264.0,3612.0,308.0,264.0,"1,28","26,56",Asiatic Region,Tamkang University,2021-2023,Multidisciplinary,Engineering; Multidisciplinary,Taiwan,http://jase.tku.edu.tw/,Asia,25,1013,1038,0.024084778420038536
6474,journal,Journal-of-Applied-and-Natural-Science,0,home,https://journals.ansfoundation.org/index.php/jans,21583.0,21101016916.0,Journal of Applied and Natural Science,journal,"09749411, 22315209","0,156",Q4,4.0,214.0,306.0,8207.0,144.0,306.0,"0,47","38,35",Asiatic Region,Applied and Natural Science Foundation,2020-2022,"Agricultural and Biological Sciences;Biochemistry, Genetics and Molecular Biology;Immunology and Microbiology","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Environmental Science; Immunology and Microbiology",India,https://journals.ansfoundation.org/index.php/jans,Asia,28,2138,2166,0.012927054478301015
6475,journal,Journal-of-Aridland-Agriculture,0,home,https://updatepublishing.com/journal/index.php/jaa/,22841.0,21100945776.0,Journal of Aridland Agriculture,journal,24559377,"0,137",Q4,2.0,3.0,24.0,72.0,9.0,24.0,"0,38","24,00",Middle East,TathQeef Scientific Publishing,2018-2022,Agronomy and Crop Science;Horticulture,Agricultural and Biological Sciences; Environmental Science,United Arab Emirates,https://updatepublishing.com/journal/index.php/jaa/,Asia,6,847,853,0.007033997655334115
6476,journal,Journal-of-Arrhythmology,0,home,https://vestar.elpub.ru/jour?locale=en_US,24759.0,21101047723.0,Journal of Arrhythmology,journal,"15618641, 26587327","0,115",Q4,2.0,40.0,44.0,787.0,10.0,41.0,"0,23","19,68",Eastern Europe,NJSC Institute of Cardiological Technology (INCART),2021-2022,Cardiology and Cardiovascular Medicine;Emergency Medicine;Pharmacology,Medicine,Russia,https://vestar.elpub.ru/jour?locale=en_US,Asia,277,931,1208,0.2293046357615894
6477,journal,Journal-of-Arthroscopy-and-Joint-Surgery,0,home,https://www.sciencedirect.com/journal/journal-of-arthroscopy-and-joint-surgery,21194.0,21100364622.0,Journal of Arthroscopy and Joint Surgery,journal,22149635,"0,162",Q4,8.0,0.0,147.0,0.0,49.0,142.0,"0,26","0,00",Asiatic Region,International Society for Knowledge for Surgeons on Arthroscopy and Arthroplasty (ISKSAA),2015-2021,Orthopedics and Sports Medicine,Medicine,India,https://www.journals.elsevier.com/journal-of-arthroscopy-and-joint-surgery,Asia,4,201,205,0.01951219512195122
6478,journal,Journal-of-Artificial-Organs,0,home,https://link.springer.com/journal/10047,14202.0,27215.0,Journal of Artificial Organs,journal,"14347229, 16190904","0,331",Q3,42.0,86.0,190.0,1673.0,262.0,189.0,"1,41","19,45",Asiatic Region,Springer Japan,1998-2022,Biomedical Engineering;Cardiology and Cardiovascular Medicine;Medicine;Biomaterials,Engineering; Materials Science; Medicine,Japan,https://www.springer.com/journal/10047,Asia,1,1048,1049,0.0009532888465204957
6479,journal,Journal-of-Assisted-Reproduction-and-Genetics,0,home,https://link.springer.com/journal/10815,5518.0,27580.0,Journal of Assisted Reproduction and Genetics,journal,10580468,"0,844",Q2,87.0,296.0,982.0,11873.0,2999.0,851.0,"2,71","40,11",Northern America,Springer New York,1992-2022,Developmental Biology;Genetics;Genetics;Medicine;Obstetrics and Gynecology;Reproductive Medicine,"Biochemistry, Genetics and Molecular Biology; Medicine",United States,http://www.springer.com/medicine/gynecology/journal/10815,North America,1,1146,1147,0.0008718395815170009
6480,journal,Journal-of-Asthma-and-Allergy,0,home,https://www.dovepress.com/journal-of-asthma-and-allergy-journal,5964.0,19700175010.0,Journal of Asthma and Allergy,journal,11786965,"0,801",Q2,37.0,149.0,259.0,7304.0,883.0,255.0,"3,21","49,02",Pacific Region,Dove Medical Press Ltd.,2008-2022,Immunology and Allergy;Pulmonary and Respiratory Medicine,Medicine,New Zealand,https://www.dovepress.com/journal-of-asthma-and-allergy-journal,Oceania,59,838,897,0.06577480490523968
6481,journal,Journal-of-Avian-Medicine-and-Surgery,0,home,https://bioone.org/journals/journal-of-avian-medicine-and-surgery,14418.0,18295.0,Journal of Avian Medicine and Surgery,journal,10826742,"0,323",Q3,36.0,54.0,155.0,1579.0,107.0,136.0,"0,41","29,24",Northern America,Association of Avian Veterinarians,1996-2022,Medicine,Medicine; Veterinary,United States,https://bioone.org/journals/journal-of-avian-medicine-and-surgery,North America,10,762,772,0.012953367875647668
6482,journal,Journal-of-Ayub-Medical-College-Abbottabad-JAMC,0,home,https://jamc.ayubmed.edu.pk/jamc/index.php/jamc,18691.0,58917.0,"Journal of Ayub Medical College, Abbottabad : JAMC",journal,10259589,"0,210",Q4,35.0,217.0,486.0,0.0,312.0,470.0,"0,60","0,00",Asiatic Region,Ayub Medical College,2001-2022,Medicine,Medicine,Pakistan,http://jamc.ayubmed.edu.pk/index.php/jamc,Asia,25,1647,1672,0.014952153110047847
6483,journal,Journal-of-B-U-ON-,0,home,https://jbuon.com/,13641.0,28749.0,Journal of B.U.ON.,journal,11070625,"0,352",Q3,34.0,0.0,1250.0,0.0,1716.0,1099.0,"1,10","0,00",Western Europe,Balkan Union of Oncology,1999-2021,"Hematology;Medicine;Oncology;Radiology, Nuclear Medicine and Imaging;Cancer Research","Biochemistry, Genetics and Molecular Biology; Medicine",Greece,https://jbuon.com/,Europe,39,865,904,0.04314159292035398
6484,journal,Journal-of-Babol-University-of-Medical-Sciences,0,home,http://jbums.org/index.php?slc_lang=en&sid=1,22772.0,19700181105.0,Journal of Babol University of Medical Sciences,journal,15614107,"0,138",Q4,16.0,58.0,180.0,1458.0,72.0,180.0,"0,39","25,14",Middle East,Babol University of Medical Sciences,2010-2022,Medicine,Medicine,Iran,http://jbums.org/index.php?slc_lang=en&sid=1,Asia,161,1739,1900,0.08473684210526315
6485,journal,Journal-of-Back-and-Musculoskeletal-Rehabilitation,0,home,https://www.iospress.com/catalog/journals/journal-of-back-and-musculoskeletal-rehabilitation,12012.0,12192.0,Journal of Back and Musculoskeletal Rehabilitation,journal,"18786324, 10538127","0,421",Q2,37.0,155.0,366.0,5484.0,612.0,360.0,"1,62","35,38",Western Europe,IOS Press BV,"1992-2000, 2002-2022","Physical Therapy, Sports Therapy and Rehabilitation;Rehabilitation;Orthopedics and Sports Medicine",Health Professions; Medicine,Netherlands,https://www.iospress.nl/journal/journal-of-back-and-musculoskeletal-rehabilitation/,Europe,9,164,173,0.05202312138728324
6486,journal,Journal-of-Bamboo-and-Rattan,0,home,https://www.jbronline.org/,25570.0,19206.0,Journal of Bamboo and Rattan,journal,"15691586, 15691594","0,108",Q4,14.0,0.0,18.0,0.0,3.0,18.0,"0,00","0,00",Asiatic Region,Kerala Forestry Research Institute,"2002-2007, 2009-2020",Agronomy and Crop Science;Horticulture;Plant Science,Agricultural and Biological Sciences,India,http://www.jbronline.org/,Asia,10,357,367,0.027247956403269755
6487,journal,Journal-of-Basic-and-Clinical-Physiology-and-Pharmacology,0,home,https://www.degruyter.com/journal/key/jbcpp/html,13326.0,22980.0,Journal of Basic and Clinical Physiology and Pharmacology,journal,"21910286, 07926855","0,365",Q3,39.0,104.0,385.0,4814.0,777.0,381.0,"1,64","46,29",Western Europe,Walter de Gruyter GmbH,"1985-1988, 1990-2022",Drug Discovery;Medicine;Pharmacology;Physiology,"Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics",Germany,https://www.degruyter.com/view/j/jbcpp?lang=en,Europe,1,1428,1429,0.0006997900629811056
6488,journal,Journal-of-Behavioral-Education,0,home,https://link.springer.com/journal/10864,5530.0,12769.0,Journal of Behavioral Education,journal,"10530819, 15733513","0,843",Q1,42.0,76.0,108.0,3470.0,304.0,107.0,"2,42","45,66",Northern America,Springer New York,"1991-2000, 2002, 2005-2022",Developmental and Educational Psychology,Psychology; Social Sciences,United States,https://www.springer.com/journal/10864,North America,1,1055,1056,0.000946969696969697
6489,journal,Journal-of-Behavioral-Health-Services-and-Research,0,home,https://link.springer.com/journal/11414,8989.0,21892.0,Journal of Behavioral Health Services and Research,journal,"10943412, 15563308","0,575",Q2,58.0,45.0,142.0,1574.0,277.0,132.0,"1,99","34,98",Northern America,Springer New York,1996-2022,"Health Policy;Health;Public Health, Environmental and Occupational Health",Medicine; Social Sciences,United States,https://www.springer.com/journal/11414,North America,1,1109,1110,0.0009009009009009009
6490,journal,Journal-of-Berry-Research,0,home,https://www.iospress.com/catalog/journals/journal-of-berry-research,14203.0,21100244628.0,Journal of Berry Research,journal,"18785093, 18785123","0,331",Q2,31.0,34.0,133.0,1882.0,260.0,133.0,"1,80","55,35",Western Europe,IOS Press BV,2010-2022,Agronomy and Crop Science;Horticulture;Food Science;Plant Science;Biochemistry,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology",Netherlands,https://www.iospress.nl/journal/journal-of-berry-research/,Europe,9,170,179,0.05027932960893855
6491,journal,Journal-of-Bioenergetics-and-Biomembranes,0,home,https://link.springer.com/journal/10863,7620.0,17590.0,Journal of Bioenergetics and Biomembranes,journal,"15736881, 0145479X","0,663",Q2,101.0,24.0,138.0,854.0,434.0,137.0,"2,99","35,58",Northern America,Springer New York,1976-2022,Physiology;Cell Biology,"Biochemistry, Genetics and Molecular Biology",United States,https://www.springer.com/journal/10863,North America,1,1022,1023,0.0009775171065493646
6492,journal,Journal-of-Bioethical-Inquiry,0,home,https://link.springer.com/journal/11673,8239.0,4000148017.0,Journal of Bioethical Inquiry,journal,11767529,"0,621",Q2,32.0,77.0,245.0,3161.0,532.0,220.0,"2,40","41,05",Western Europe,Springer Netherlands,2004-2022,Health Policy;Health,Medicine; Social Sciences,Netherlands,https://www.springer.com/journal/11673,Europe,1,1151,1152,0.0008680555555555555
6493,journal,Journal-of-Biological-Engineering,0,home,https://jbioleng.biomedcentral.com/,5450.0,11700154619.0,Journal of Biological Engineering,journal,17541611,"0,851",Q1,49.0,36.0,145.0,2494.0,739.0,144.0,"4,04","69,28",Western Europe,BioMed Central Ltd.,2007-2022,Biomedical Engineering;Molecular Biology;Cell Biology,"Biochemistry, Genetics and Molecular Biology; Engineering; Environmental Science",United Kingdom,https://jbioleng.biomedcentral.com/,Europe,12,1163,1175,0.010212765957446808
6494,journal,Journal-of-Biological-Inorganic-Chemistry,0,home,https://link.springer.com/journal/775,9302.0,25280.0,Journal of Biological Inorganic Chemistry,journal,"09498257, 14321327","0,556",Q2,111.0,61.0,271.0,3730.0,831.0,256.0,"2,57","61,15",Western Europe,Springer Verlag,1996-2022,Biochemistry,"Biochemistry, Genetics and Molecular Biology; Chemistry",Germany,https://www.springer.com/journal/775,Europe,1,1149,1150,0.0008695652173913044
6495,journal,Journal-of-Biological-Physics,0,home,https://link.springer.com/journal/10867,12533.0,14894.0,Journal of Biological Physics,journal,"15730689, 00920606","0,398",Q3,49.0,28.0,79.0,1289.0,147.0,78.0,"1,79","46,04",Western Europe,Springer Netherlands,"1973-1993, 1995-1997, 1999-2022","Atomic and Molecular Physics, and Optics;Biophysics;Cell Biology;Molecular Biology","Biochemistry, Genetics and Molecular Biology; Physics and Astronomy",Netherlands,https://www.springer.com/journal/10867,Europe,1,1158,1159,0.0008628127696289905
6496,journal,Journal-of-Biological-Regulators-and-Homeostatic-Agents,0,home,https://www.biolifesas.org/contentsJBRHA.htm,15619.0,29572.0,Journal of Biological Regulators and Homeostatic Agents,journal,"17246083, 0393974X","0,285",Q3,54.0,232.0,1334.0,12880.0,2034.0,693.0,"1,79","55,52",Western Europe,Biolife SAS,1987-2022,"Endocrinology, Diabetes and Metabolism;Oncology;Cancer Research;Endocrinology;Immunology;Immunology and Allergy;Physiology;Physiology","Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine",Italy,http://www.biolifesas.org/contentsJBRHA.htm,Europe,9,98,107,0.08411214953271028
6497,journal,Journal-of-Biological-Research-Italy-,0,home,https://www.pagepressjournals.org/jbr,20403.0,21100390160.0,Journal of Biological Research (Italy),journal,"18268838, 22840230","0,177",Q4,10.0,32.0,64.0,1263.0,60.0,64.0,"0,50","39,47",Western Europe,PagePress Publications,2011-2022,"Biochemistry, Genetics and Molecular Biology;Biochemistry;Plant Science","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine",Italy,http://www.jbiolres.org/,Europe,25,967,992,0.025201612903225805
6498,journal,Journal-of-Biomechanical-Engineering,0,home,https://asmedigitalcollection.asme.org/biomechanical/,11334.0,15845.0,Journal of Biomechanical Engineering,journal,"15288951, 01480731","0,450",Q3,136.0,185.0,539.0,2932.0,1025.0,524.0,"1,84","15,85",Northern America,The American Society of Mechanical Engineers(ASME),1977-2023,Biomedical Engineering;Physiology,Engineering; Medicine,United States,https://asmedigitalcollection.asme.org/biomechanical/,North America,48,977,1025,0.04682926829268293
6499,journal,Journal-of-Biomedical-Physics-and-Engineering,0,home,https://jbpe.sums.ac.ir/,16187.0,21100390407.0,Journal of Biomedical Physics and Engineering,journal,22517200,"0,269",Q3,19.0,71.0,260.0,2100.0,361.0,248.0,"1,27","29,58",Middle East,Shiraz University of Medical Sciences,2015-2022,"Radiological and Ultrasound Technology;Radiology, Nuclear Medicine and Imaging;Bioengineering",Chemical Engineering; Health Professions; Medicine,Iran,https://jbpe.sums.ac.ir/,Asia,62,1175,1237,0.050121261115602264
6500,journal,Journal-of-Biomedical-Semantics,0,home,https://jbiomedsem.biomedcentral.com/,7134.0,21100316001.0,Journal of Biomedical Semantics,journal,20411480,"0,697",Q2,42.0,25.0,62.0,1171.0,163.0,62.0,"2,65","46,84",Western Europe,BioMed Central Ltd.,2010-2022,Health Informatics,Computer Science; Medicine,United Kingdom,https://jbiomedsem.biomedcentral.com/,Europe,11,898,909,0.0121012101210121
6501,journal,Journal-of-Biomimetics-Biomaterials-and-Biomedical-Engineering,0,home,https://www.scientific.net/JBBBE,19701.0,21100332407.0,"Journal of Biomimetics, Biomaterials and Biomedical Engineering",journal,"22969837, 22969845","0,190",Q4,14.0,67.0,148.0,2412.0,133.0,144.0,"0,69","36,00",Western Europe,Trans Tech Publications,2014-2022,Bioengineering;Biomedical Engineering;Biotechnology,"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering",Germany,https://www.scientific.net/JBBBE,Europe,55,724,779,0.07060333761232349
6502,journal,Journal-of-Bionic-Engineering,0,home,https://link.springer.com/journal/42235,9566.0,4700152244.0,Journal of Bionic Engineering,journal,16726529,"0,542",Q2,59.0,157.0,293.0,8349.0,1278.0,292.0,"4,19","53,18",Asiatic Region,Science Press,"2004, 2006-2022",Biophysics;Biotechnology;Bioengineering,"Biochemistry, Genetics and Molecular Biology; Chemical Engineering",China,https://www.springer.com/journal/42235,Asia,1,1107,1108,0.0009025270758122744
6503,journal,Journal-of-Biopesticides,0,home,http://www.jbiopest.com/users/LW8/,19756.0,19700188154.0,Journal of Biopesticides,journal,"22308385, 0974391X","0,189",Q4,24.0,10.0,79.0,264.0,38.0,79.0,"0,36","26,40",Asiatic Region,Crop Protection Research Centre,2010-2021,Agronomy and Crop Science;Plant Science,Agricultural and Biological Sciences,India,http://www.jbiopest.com/users/LW8/,Asia,75,1403,1478,0.05074424898511502
6504,journal,Journal-of-Biosafety-and-Biosecurity,0,home,https://www.sciencedirect.com/journal/journal-of-biosafety-and-biosecurity,10781.0,21101069428.0,Journal of Biosafety and Biosecurity,journal,25889338,"0,476",Q1,9.0,23.0,75.0,927.0,200.0,69.0,"3,46","40,30",Asiatic Region,KeAi Communications Co.,2019-2022,Linguistics and Language;Immunology and Microbiology;Infectious Diseases,Engineering; Immunology and Microbiology; Medicine; Social Sciences,China,https://www.sciencedirect.com/journal/journal-of-biosafety-and-biosecurity,Asia,4,201,205,0.01951219512195122
6505,journal,Journal-of-Bioscience-and-Bioengineering,0,home,https://www.sciencedirect.com/browse/journals-and-books,9546.0,16337.0,Journal of Bioscience and Bioengineering,journal,"13474421, 13891723","0,543",Q2,121.0,153.0,594.0,5994.0,1994.0,594.0,"3,05","39,18",Western Europe,Elsevier,"1990-1991, 1993-1994, 1999-2022",Biotechnology;Applied Microbiology and Biotechnology;Bioengineering,"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Immunology and Microbiology",Netherlands,https://www.journals.elsevier.com/journal-of-bioscience-and-bioengineering/,Europe,4,201,205,0.01951219512195122
6506,journal,Journal-of-Biosciences,0,home,https://link.springer.com/journal/12038,8802.0,29579.0,Journal of Biosciences,journal,02505991,"0,586",Q1,80.0,93.0,433.0,4699.0,1179.0,419.0,"2,81","50,53",Asiatic Region,Springer India,1979-2022,"Agricultural and Biological Sciences;Biochemistry, Genetics and Molecular Biology;Medicine","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine",India,https://www.springer.com/journal/12038,Asia,1,1066,1067,0.0009372071227741331
6507,journal,Journal-of-Biosocial-Science,0,home,https://www.cambridge.org/core/journals/journal-of-biosocial-science,10972.0,15594.0,Journal of Biosocial Science,journal,"00219320, 14697599","0,467",Q2,59.0,33.0,278.0,1425.0,421.0,275.0,"1,21","43,18",Western Europe,Cambridge University Press,1969-2022,"Public Health, Environmental and Occupational Health",Medicine; Social Sciences,United Kingdom,https://www.cambridge.org/core/journals/journal-of-biosocial-science,Europe,32,1875,1907,0.016780283167278448
6508,journal,Journal-of-Biosystems-Engineering,0,home,https://link.springer.com/journal/42853,15382.0,21101017597.0,Journal of Biosystems Engineering,journal,"22341862, 17381266","0,292",Q2,9.0,42.0,112.0,1679.0,190.0,112.0,"1,98","39,98",Western Europe,Springer Nature Switzerland AG,"2016, 2019-2022",Agricultural and Biological Sciences,Agricultural and Biological Sciences; Computer Science; Engineering,Switzerland,https://www.springer.com/journal/42853,Europe,1,1049,1050,0.0009523809523809524
6509,journal,Journal-of-Biotech-Research,0,home,http://www.btsjournals.com/,21403.0,19900193524.0,Journal of Biotech Research,journal,19443285,"0,159",Q4,11.0,28.0,70.0,1181.0,47.0,70.0,"0,61","42,18",Northern America,Bio Tech System,"2009-2013, 2015-2022",Biotechnology;Genetics,"Biochemistry, Genetics and Molecular Biology; Energy",United States,http://www.btsjournals.com/,North America,17,381,398,0.04271356783919598
6510,journal,Journal-of-Blood-Medicine,0,home,https://www.dovepress.com/journal-of-blood-medicine-journal,9643.0,21100397702.0,Journal of Blood Medicine,journal,11792736,"0,538",Q3,25.0,75.0,217.0,3119.0,466.0,214.0,"2,00","41,59",Pacific Region,Dove Medical Press Ltd.,2014-2022,Hematology,Medicine,New Zealand,https://www.dovepress.com/journal-of-blood-medicine-journal,Oceania,55,751,806,0.06823821339950373
